City,2009_Population,2009_Violent_crime,2009_Murder_and_nonnegligent_manslaughter,2009_Rape,2009_Robbery,2009_Aggravated_assault,2009_Property_crime,2009_Burglary,2009_Larceny_theft,2009_Motor_vehicle_theft,2009_Arson
Plover,11852,13,0,0,0,13,225,23,198,4,0
Plymouth,8276,14,0,2,1,11,220,32,188,0,0
Portage,9939,40,0,10,1,29,286,16,263,7,0
Port Washington,11247,3,0,2,0,1,163,10,148,5,1
Poynette,2577,0,0,0,0,0,31,7,24,0,0
Prescott,4039,5,0,1,0,4,163,14,145,4,0
Pulaski,3602,4,0,3,1,0,56,8,47,1,1
Racine,82232,448,3,35,228,182,3521,1108,2266,147,22
Reedsburg,8758,12,0,3,1,8,154,10,141,3,0
Rhinelander,7602,7,0,1,0,6,340,36,296,8,1
Rice Lake,8247,21,0,1,4,16,368,30,320,18,3
Richland Center,5040,6,0,4,0,2,124,9,114,1,1
Ripon,7392,7,0,0,0,7,123,12,109,2,0
River Falls,14549,35,0,5,4,26,374,50,317,7,1
River Hills,1660,1,0,0,0,1,8,3,4,1,0
Rome Town,2997,2,0,0,0,2,45,7,36,2,0
Rothschild,5052,1,0,0,1,0,148,16,131,1,0
Sauk Prairie,4050,1,0,1,0,0,340,44,289,7,0
Saukville,4301,4,0,2,0,2,93,5,84,4,0
Seymour,3490,5,0,1,1,3,39,6,32,1,0
Shawano,8706,27,0,3,2,22,389,35,340,14,1
Sheboygan,47578,99,2,18,28,51,1900,312,1539,49,7
Sheboygan Falls,8025,2,0,0,0,2,129,10,117,2,0
Shiocton,913,2,0,0,0,2,13,0,11,2,0
Shorewood,13173,11,0,3,5,3,454,43,401,10,5
Shorewood Hills,1675,4,0,0,4,0,89,1,88,0,0
Silver Lake,2543,8,0,1,0,7,23,3,20,0,1
Siren,998,3,0,0,0,3,44,3,38,3,0
Slinger,4757,4,0,1,0,3,115,12,97,6,0
Somerset,2836,0,0,0,0,0,42,4,36,2,0
South Milwaukee,21122,27,0,5,19,3,500,96,383,21,1
Spencer,1792,1,0,0,0,1,29,6,23,0,0
Spooner,2653,1,0,1,0,0,82,9,72,1,0
Spring Green,1503,0,0,0,0,0,31,4,27,0,0
Stanley,3567,0,0,0,0,0,98,7,91,0,0
St. Croix Falls,2163,1,0,0,0,1,84,4,77,3,0
Stevens Point,25320,34,0,4,0,30,706,68,625,13,2
St. Francis,9862,14,0,1,3,10,271,33,227,11,3
Stoughton,13013,10,0,0,3,7,214,32,177,5,2
Strum,1022,0,0,0,0,0,14,0,14,0,0
Sturgeon Bay,8721,7,0,0,0,7,134,13,116,5,1
Sturtevant,7120,6,1,0,0,5,78,14,62,2,0
Summit,5055,2,0,0,0,2,22,5,17,0,0
Sun Prairie,29324,41,1,2,10,28,738,78,640,20,8
Superior,26098,72,0,7,19,46,1396,201,1147,48,7
Theresa,1249,4,0,2,0,2,34,4,30,0,0
Thiensville,3013,3,0,0,0,3,36,4,29,3,0
Three Lakes,2251,1,0,1,0,0,38,6,31,1,0
Tomah,8692,24,0,6,0,18,297,42,253,2,2
Tomahawk,3684,10,0,2,0,8,127,15,111,1,0
Town of East Troy,3970,1,0,0,0,1,28,5,23,0,0
Town of Madison,6309,39,0,11,19,9,199,35,137,27,2
Town of Menasha,16005,14,0,1,0,13,283,78,194,11,0
Trempealeau,1529,0,0,0,0,0,8,3,5,0,0
Twin Lakes,5809,5,0,1,0,4,135,23,107,5,0
Two Rivers,11716,21,0,7,1,13,132,14,114,4,0
Verona,12056,16,0,3,3,10,195,18,177,0,0
Viroqua,4437,4,0,2,0,2,103,4,94,5,0
Walworth,2738,8,0,0,0,8,33,6,27,0,0
Washburn,2155,2,0,1,0,1,41,2,38,1,0
Waterloo,3273,4,0,1,0,3,49,8,40,1,0
